interactor A,interactor B
O54918-3,Q9NP97
Q9NP97,O54918-3
Q9NP97,O54918-3
P21127-12,Q13153
P21127,Q13153
P63102,P53668
Q13526,P04637
Q13526,P04637
Q61686,Q61686
O54864,Q61686
P60953,P19878
P35609,Q9Y561
Q9Y561,Q9UBF9
Q9Y561,O95295
P05107,Q9Y3P9
P05107,P35570
P05556,P98083
P98083,P05107
P05107,Q12929
Q12929,P26010
Q7Z6G8,P05107
P05556,Q9UBP9
P05107,Q9UBP9
O14924,P26010
Q9QZS3,P05107
O14924,P05556
Q9UQF2,P05107
Q9UQF2,P26010
P25208,P56524
B2RU80,O88792
B2RU80,P35222
P20701,Q96S59
P97814,P70315
P25604,P52917
Q9P7F7,P25604
P25604,P36095
P02299,P20659
P42124,P02299
P20659,P02299
P01112,P06241
Q8N2H9-1,P51617-2
Q8N2W9,Q6Q0C0
P06241,P22681
P06729,P06241
P16333,Q7L0Q8
P19174,Q7L0Q8
P04050,P38827
P38827,P32585
Q9P0K1,Q9NYB9
Q9NYB9,Q61072
Q9UKF5,Q9NYB9
P04049,P05783
Q96LW7,O95999
P62834,Q9Z0S9
P40450,P41832
P23201,P41832
Q9Y5B0,Q99873
P39743,P39940
P52734,Q60598
P27986,P43405
P62158,Q14318
P62158,Q14318
Q96SB4,O88453
Q96SB4,O88453
P38919,P61326
P38919,Q9Y5S9
P51813,P11309-1
P11309-1,P51813
P11309-1,P51813
Q8C863,O35732-2
Q86UW9,Q9NRR5
Q8N1L9,P54253
P54253,Q86UW1
P38432,Q96HA8
Q16594,P38432
Q9Y3Q8,P04156
Q15366,Q96PU8
O60684,Q16594
Q7Z3S9,Q9NRR5
Q96RK0,Q9BYW2
Q14103-4,P63104
P61981,Q14103-4
Q14103-2,P31947
P31947,Q14103-1
P63104,Q14103-4
Q9Y738,Q10173
Q14103-1,O60506
Q14103-2,O60506
Q14103-1,P67809
P67809,Q14103-2
Q14103-1,Q9Y6M1
Q14103-2,Q9Y6M1
Q14103-4,Q14103-1
Q14103-4,Q14103-2
Q40687,Q0DJ33
Q40687,Q0DJ33
Q13671-2,P01112
P54253,P51448
Q92466,Q01094
P0DPB3-1,P35240-1
Q14141,O14512-2
P32468,Q12280
Q9UNQ0,P11309-1
Q9UNQ0,P11309-1
P84022,O88898-6
O01498-2,Q09624
Q9UKT9-14,Q9BZS1
P17844,P04637-2
P04637-3,P17844
P04637-8,P17844
P17844,P04637-9
Q6Y5D8,Q29502
Q6Y5D8,Q29502
Q29502,Q6Y5D8-1
Q29502,Q6Y5D8-1
Q6Y5D8-1,Q29502
P49755,P17706-2
P17706-2,Q9BVK6
Q13546,O43464
Q14790,Q13158
Q14790,Q13546
Q14790,O15519-1
P42866-1,P21729
P42866-1,P21729
P21729,P42866-1
P42866-1,P21729
Q96B01-3,Q14565
Q96HS1-1,O00429
P21333,P05556
Q61097,Q86Y07-2
Q8NFJ9,P48356-2
O75367-2,P04626
P63104,Q12824
P42566,P98078-3
Q86Y07-2,Q07817-1
Q90998,P01137
P03255-2,P29590
P29590,P03255-2
P03255-1,P29590-5
P29590-9,P03255-1
P29590-4,P03255-1
P03255-2,P29590-8
P29590-1,P03255-1
P29590-2,P03255-1
P12815,Q8N114
P12815,Q8N114
P12815,Q8N114
P12815,Q9D7I0
P12815,Q9WU78
P12815,Q61187
P12815-2,Q9WU78
Q6P0K8,Q02487-2
P17302,Q02487-2
P17302,Q02487-2
P14270-3,Q9QX74
P14270-7,Q9QX74
O14746,P29590-8
P29590-9,O14746
P29590-1,O14746
P29590-2,O14746
O14746,P29590-4
P29590-1,O14746
P29590-8,O14746
O14746,P29590-2
P29590-9,O14746
P29590-4,O14746
Q9NRW1,Q02410-1
Q02410-1,P20340-1
Q9NRW1,Q02410-1
P20340,Q02410-1
Q02410-1,P20340-1
Q02410-1,Q9NRW1
O60260,Q9Y3I1-2
Q9Z254,Q66T02-2
Q66T02-2,P02563
P03372,Q16881-5
Q92731,Q16881-5
Q16881-5,P10827
P03372,Q16881-5
O95292-1,O95292-2
Q9P0L0,O95292-2
P29994,P54256-1
O75952-1,P49841
O75952-1,P49841
