Proteina A,Proteina B
Q2RGM7,Q9UM73
O14786,Q13342
P00918,P11309
Q96T58,P29477
P19491,P02945
P06672,P16455
Q8NFU5,Q8MU52
Q9X286,Q07820
Q2TDY4,P00698
P13393,P0A8I8
P24627,P11309
A0A1L4BKS3,O58762
P80378,P04585
P43490,P68082
P40347,Q6ZVK8
Q9WFX3,P12497
P00760,P32322
P76141,P07884
P14779,P02511
Q7SIG4,P0A6V1
P33038,Q6PJP8
P07017,P01112
P02925,Q9PF20
Q2G506,P04117
Q08210,P04585
P02213,Q94734
P15145,Q9UIF8
O58456,Q4R0W2
O07051,Q43866
P00533,A6QHR2
P37231,O60885
O76745,P33038
O54983,O84866
P00441,O33635
P01834,P00438
Q8TF76,Q9SD76
P03951,P21816
Q6PJP8,P02829
P06280,P01709
P52293,P53041
P29473,P13632
P42574,P42212
P00533,Q8TEA8
P00800,Q9H2K2
P81637,Q9UHL0
P61626,P50477
Q29147,P37231
P25524,P00720
P03366,Q0J8A4
P06746,P76641
O60603,P20425
P03369,P05803
P46849,P0ABQ4
P02638,Q47155
Q8NEB9,P9WPP9
Q56148,P00593
O28126,P52732
P80725,P0DMV3
Q46134,P02760
Q98GN8,Q9SSM7
P68403,P18902
Q99418,P12033
P06746,Q6QLL4
P49302,P60906
P03366,Q8TF76
P05540,P40198
P56817,Q13162
P14780,P19440
P22906,P80508
P11838,P37019
O14965,P15090
P11838,P04585
Q3JWH7,C0HJY1
P09960,Q9UGP5
P09601,Q9F5I8
P00760,Q57834
P29166,P11838
P00720,Q04I02
P0CG48,P00766
P03316,P25774
Q8TEK3,P04818
Q6N021,P74334
P02189,Q9H7X0
P04578,Q9ZFV5
P76045,P24941
Q6XHB2,P53370
P24941,P14921
P21163,P00734
P07900,P24300
O60674,P52026
P03623,P00352
P18272,P95481
Q1PS67,P04789
P04058,P33284
P0C0Q2,P9WGY1
P36639,P00533
P00698,P22411
O15530,P00918
P07824,Q8U093
P00519,P00433
P09874,P15737
P12493,Q9R4E4
Q99497,P07338
P11838,Q6PJP8
P42574,P80188
Q68FT9,P03366
P02787,O96013
P0A0K8,P39075
Q9UIF8,P00950
P20339,P10955
O14733,Q9UGP5
P09546,Q9LZJ3
P03300,Q86U86
Q9H0R4,Q12866
Q99497,P00509
P00720,O14733
Q9C169,Q5UQL3
Q9UIF8,P65249
P08149,P04058
P33247,Q00022
P19793,P03052
P10477,Q9UBC3
P14324,O64587
P00099,P43895
P42212,P06746
Q9Y2K7,P06746
Q9GZT9,P00742
P26663,Q96EB6
P27472,O15229
C5A5N6,P61830
P61769,P04003
P00533,P25321
Q7YS85,Q8R4T5
P19544,Q9BV79
P35120,P29476
Q8CHT0,Q9V1G0
Q9UNN5,P33981
P80040,P03366
Q8NCC3,P03962
Q07820,Q6P179
Q9UNA4,O75223
Q9Y233,B0SR19
P0AEX9,Q9Y3Z3
P15090,P11716
P0A722,Q00987
Q9H2K2,Q84HF5
