Secuancia A,Secuencia B,A(A),C(A),D(A),E(A),F(A),G(A),H(A),I(A),K(A),L(A),M(A),N(A),P(A),Q(A),R(A),S(A),T(A),V(A),W(A),Y(A),A(B),C(B),D(B),E(B),F(B),G(B),H(B),I(B),K(B),L(B),M(B),N(B),P(B),Q(B),R(B),S(B),T(B),V(B),W(B),Y(B),Interaccion
P49418,O43426,0.09784172661870504,0.004316546762589928,0.058992805755395686,0.11942446043165468,0.034532374100719423,0.05467625899280575,0.015827338129496403,0.030215827338129494,0.0618705035971223,0.08057553956834533,0.014388489208633094,0.02446043165467626,0.08776978417266187,0.05323741007194245,0.03597122302158273,0.06762589928057554,0.06906474820143885,0.06330935251798561,0.010071942446043165,0.015827338129496403,0.06993006993006994,0.012714558169103624,0.0508582326764145,0.05912269548633185,0.04895104895104895,0.06230133502860776,0.016528925619834708,0.04132231404958678,0.05467260012714558,0.09281627463445644,0.016528925619834708,0.03877940241576605,0.08391608391608392,0.04831532104259377,0.05467260012714558,0.10616656071201526,0.05530832803560076,0.05848696757787668,0.012078830260648444,0.016528925619834708,1
O43426,Q99961,0.06993006993006994,0.012714558169103624,0.0508582326764145,0.05912269548633185,0.04895104895104895,0.06230133502860776,0.016528925619834708,0.04132231404958678,0.05467260012714558,0.09281627463445644,0.016528925619834708,0.03877940241576605,0.08391608391608392,0.04831532104259377,0.05467260012714558,0.10616656071201526,0.05530832803560076,0.05848696757787668,0.012078830260648444,0.016528925619834708,0.05706521739130435,0.010869565217391304,0.06793478260869565,0.10597826086956523,0.035326086956521736,0.06521739130434782,0.016304347826086956,0.035326086956521736,0.09239130434782608,0.10597826086956523,0.02445652173913044,0.029891304347826088,0.059782608695652176,0.05434782608695652,0.051630434782608696,0.07336956521739131,0.035326086956521736,0.051630434782608696,0.002717391304347826,0.02445652173913044,1
P50570,Q99961,0.059770114942528735,0.006896551724137931,0.060919540229885064,0.07011494252873564,0.035632183908045977,0.05057471264367816,0.020689655172413796,0.0735632183908046,0.059770114942528735,0.09770114942528736,0.021839080459770115,0.040229885057471264,0.07586206896551724,0.04942528735632184,0.07011494252873564,0.07241379310344828,0.04827586206896552,0.059770114942528735,0.005747126436781609,0.020689655172413796,0.05706521739130435,0.010869565217391304,0.06793478260869565,0.10597826086956523,0.035326086956521736,0.06521739130434782,0.016304347826086956,0.035326086956521736,0.09239130434782608,0.10597826086956523,0.02445652173913044,0.029891304347826088,0.059782608695652176,0.05434782608695652,0.051630434782608696,0.07336956521739131,0.035326086956521736,0.051630434782608696,0.002717391304347826,0.02445652173913044,1
P10275,Q14192,0.08804347826086957,0.02934782608695652,0.040217391304347816,0.059782608695652176,0.03043478260869565,0.10434782608695653,0.02065217391304348,0.025,0.043478260869565216,0.09456521739130434,0.02391304347826087,0.021739130434782608,0.08043478260869565,0.07717391304347826,0.04456521739130435,0.08804347826086957,0.040217391304347816,0.043478260869565216,0.008695652173913044,0.035869565217391305,0.035842293906810034,0.12544802867383512,0.057347670250896064,0.06810035842293907,0.057347670250896064,0.057347670250896064,0.035842293906810034,0.03942652329749104,0.08960573476702509,0.053763440860215055,0.014336917562724013,0.035842293906810034,0.03942652329749104,0.04659498207885305,0.04659498207885305,0.057347670250896064,0.057347670250896064,0.028673835125448032,0.014336917562724013,0.03942652329749104,1
P00519,Q92558,0.08584070796460178,0.012389380530973451,0.03716814159292035,0.07964601769911504,0.02566371681415929,0.07787610619469026,0.021238938053097345,0.02920353982300885,0.07256637168141593,0.08495575221238938,0.01592920353982301,0.035398230088495575,0.07964601769911504,0.02920353982300885,0.056637168141592927,0.10619469026548672,0.057522123893805316,0.05486725663716814,0.011504424778761062,0.02654867256637168,0.06976744186046513,0.008944543828264758,0.048300536672629686,0.07513416815742398,0.02325581395348837,0.03220035778175313,0.03220035778175313,0.04293381037567084,0.04293381037567084,0.09123434704830054,0.014311270125223612,0.02325581395348837,0.1771019677996422,0.04651162790697674,0.0626118067978533,0.07871198568872988,0.0518783542039356,0.05903398926654741,0.005366726296958855,0.014311270125223612,1
P11532,Q9Y4J8,0.05780189959294438,0.00976933514246947,0.05264586160108548,0.1050203527815468,0.02198100407055631,0.03012211668928087,0.023880597014925373,0.04640434192672999,0.07978290366350067,0.12347354138398915,0.02170963364993216,0.04477611940298507,0.035549525101763915,0.08331071913161467,0.05373134328358209,0.06594301221166893,0.0542740841248304,0.053459972862957936,0.01953867028493894,0.01682496607869742,0.06998654104979811,0.018842530282637958,0.045760430686406464,0.0740242261103634,0.032301480484522214,0.04037685060565276,0.02826379542395693,0.03633916554508748,0.04441453566621804,0.11036339165545088,0.032301480484522214,0.04845222072678331,0.05787348586810229,0.06594885598923284,0.06729475100942127,0.09959623149394348,0.04845222072678331,0.04845222072678331,0.0067294751009421274,0.024226110363391656,1
P46939,Q14118,0.05796679289251384,0.011360326245266531,0.06495776288960094,0.10340809787357996,0.01951645790853481,0.033207107486163706,0.025050975822895425,0.04951937081270026,0.07660937955141275,0.12292455578211475,0.02446839498980484,0.041071948732886686,0.033207107486163706,0.0739877658025051,0.05039324206233615,0.07049228080396155,0.05272356539469852,0.05680163122633265,0.017186134576172445,0.015147101660355374,0.07150837988826815,0.0067039106145251395,0.05027932960893855,0.053631284916201116,0.023463687150837992,0.05586592178770949,0.02569832402234637,0.052513966480446934,0.052513966480446934,0.07374301675977654,0.02122905027932961,0.026815642458100558,0.1217877094972067,0.030167597765363124,0.05810055865921788,0.07597765363128492,0.09162011173184358,0.08156424581005586,0.01005586592178771,0.01675977653631285,1
P07237,Q03692,0.09645669291338582,0.013779527559055118,0.08464566929133857,0.11023622047244094,0.06496062992125984,0.05708661417322835,0.021653543307086614,0.04527559055118111,0.09251968503937008,0.0905511811023622,0.00984251968503937,0.029527559055118113,0.041338582677165364,0.02559055118110236,0.031496062992125984,0.04527559055118111,0.04527559055118111,0.0610236220472441,0.00984251968503937,0.023622047244094488,0.052941176470588235,0.0014705882352941176,0.017647058823529408,0.032352941176470584,0.02205882352941177,0.25735294117647056,0.014705882352941175,0.03970588235294117,0.05147058823529412,0.05147058823529412,0.016176470588235296,0.020588235294117647,0.21323529411764705,0.033823529411764704,0.02794117647058824,0.03970588235294117,0.035294117647058816,0.03823529411764706,0.0029411764705882357,0.030882352941176475,1
P27797,P30101,0.03836930455635491,0.007194244604316547,0.13189448441247004,0.12949640287769784,0.04316546762589928,0.06474820143884892,0.016786570743405275,0.04556354916067146,0.10071942446043164,0.06235011990407674,0.011990407673860913,0.03836930455635491,0.06474820143884892,0.03597122302158273,0.019184652278177457,0.04796163069544365,0.03597122302158273,0.04556354916067146,0.026378896882494004,0.03357314148681055,0.0891089108910891,0.013861386138613863,0.06732673267326733,0.08514851485148515,0.05742574257425743,0.061386138613861385,0.01782178217821782,0.047524752475247525,0.09504950495049504,0.08118811881188119,0.015841584158415842,0.05544554455445545,0.049504950495049514,0.01782178217821782,0.045544554455445536,0.05742574257425743,0.04158415841584159,0.05742574257425743,0.005940594059405941,0.037623762376237616,1
P50750,O60563,0.05913978494623656,0.01881720430107527,0.05645161290322581,0.06182795698924731,0.03763440860215054,0.051075268817204304,0.021505376344086027,0.051075268817204304,0.07795698924731183,0.12096774193548387,0.02956989247311828,0.04838709677419355,0.04838709677419355,0.0456989247311828,0.06182795698924731,0.051075268817204304,0.04838709677419355,0.05913978494623656,0.013440860215053764,0.03763440860215054,0.06611570247933883,0.009641873278236915,0.03994490358126722,0.060606060606060615,0.027548209366391185,0.04269972451790634,0.05371900826446281,0.033057851239669415,0.07162534435261708,0.08539944903581267,0.02203856749311295,0.0440771349862259,0.07162534435261708,0.05234159779614325,0.04132231404958678,0.12396694214876032,0.07300275482093664,0.04958677685950413,0.011019283746556474,0.02066115702479339,1
