Proteina A,Proteina B
Q2RGM7,Q9UM73
O14786,Q13342
P00918,Q8GBB2
Q96T58,P29477
P19491,P03300
P06672,P16455
Q8NFU5,Q8MU52
Q9X286,Q07820
Q2TDY4,P00698
P13393,P0A8I8
P24627,C5DSD6
A0A1L4BKS3,O58762
P80378,P04585
P43490,P68082
P40347,Q6ZVK8
Q9WFX3,P12497
P00760,P33038
P76141,P07884
P14779,Q16539
Q7SIG4,P00698
P33038,Q6PJP8
P07017,P01112
P02925,Q9PF20
Q2G506,P04117
Q08210,P04585
P02213,P56817
P15145,Q9UIF8
O58456,P01868
O07051,Q43866
P00533,O60885
P37231,P22897
O76745,P33038
O54983,O84866
P00441,C0SVZ6
P01834,P00438
Q8TF76,Q9SD76
P03951,P02911
Q6PJP8,P85173
P06280,P01709
P52293,P63316
P29473,P30041
P42574,Q9M8R4
P00800,P10997
P81637,Q9UHL0
P61626,P21816
Q29147,P37231
P25524,P00720
P03366,Q9VB68
P06746,Q5SI12
O60603,P20425
P03369,P05803
P46849,P0ABQ4
P02638,Q47155
Q8NEB9,P9WPP9
Q56148,P00593
O28126,P52732
P80725,P0DMV3
Q46134,P02760
Q98GN8,Q9SSM7
P68403,P18902
Q99418,P12033
P49302,P60906
P05540,P40198
P56817,P12870
P14780,P19440
P22906,P80508
P11838,O69054
O14965,Q10740
Q3JWH7,C0HJY1
P09960,P0C960
P09601,P03366
P29166,P11838
P00720,P06746
P0CG48,P38051
P03316,P25774
Q8TEK3,P04746
Q6N021,P74334
P02189,Q9H7X0
P04578,Q9ZFV5
P76045,P24941
Q6XHB2,P53370
P24941,Q8WZM4
P21163,P00734
P07900,Q5KXG9
O60674,O94804
P03623,P00352
P18272,P95481
Q1PS67,P04789
P04058,P33284
P0C0Q2,P9WGY1
P36639,P00441
P00698,P68082
O15530,P02526
P07824,Q8U093
P00519,P00433
P09874,P16442
P12493,Q9R4E4
Q99497,P00509
Q68FT9,P03366
P02787,O96013
P0A0K8,Q9R1T5
Q9UIF8,P00935
P20339,P10955
O14733,D7UER1
P09546,Q9LZJ3
P03300,Q86U86
Q9H0R4,Q12866
Q9C169,Q5UQL3
P08149,P10275
P33247,Q00022
P19793,P03052
P10477,Q9UBC3
P14324,P28720
P00099,P43895
P42212,Q9NWT6
Q9Y2K7,P06746
Q9GZT9,P13513
P26663,P11309
P27472,O15229
C5A5N6,P61830
P61769,P04003
Q7YS85,O95243
P19544,Q9BV79
P35120,Q9Y253
Q8CHT0,Q9V1G0
Q9UNN5,P33981
P80040,P03366
Q8NCC3,P03962
Q07820,P67910
Q9UNA4,Q00604
Q9Y233,Q9Y6Y9
P0AEX9,O85465
P15090,P11716
P0A722,Q00987
Q9H2K2,P42212
Q7SIA8,Q4JC68
P39045,Q9Y253
P11941,P23458
P0AA25,Q9Y233
P23847,P9WNS1
Q12778,P06873
P49687,P21673
P21524,P0A7Y4
P34913,P0A988
P52061,P17297
P35557,O12158
